,Rank,Genus,Family
genus_Akkermansia,Genus,Akkermansia,Akkermansiaceae
genus_Alistipes,Genus,Alistipes,Rikenellaceae 
genus_Anaerotruncus,Genus,Anaerotruncus,Oscillospiraceae
genus_Anaerovorax,Genus,Anaerovorax,Anaerovoracaceae 
genus_Bacteroides,Genus,Bacteroides,Bacteroidaceae 
genus_Barnesiella,Genus,Barnesiella,Barnesiellaceae
genus_Bilophila,Genus,Bilophila,Desulfovibrionaceae 
genus_Blautia,Genus,Blautia,Lachnospiraceae
genus_Butyricicoccus,Genus,Butyricicoccus,Butyricicoccaceae
genus_Butyricimonas,Genus,Butyricimonas,Odoribacteraceae
genus_Clostridium.IV,Genus,Clostridium.IV,Clostridiaceae
genus_Clostridium.XI,Genus,Clostridium.XI,Clostridiaceae
genus_Clostridium.XVIII,Genus,Clostridium.XVIII,Clostridiaceae
genus_Clostridium.XlVa,Genus,Clostridium.XlVa,Clostridiaceae
genus_Clostridium.XlVb,Genus,Clostridium.XlVb,Clostridiaceae
genus_Clostridium.sensu.stricto,Genus,Clostridium.sensu.stricto,Clostridiaceae
genus_Collinsella,Genus,Collinsella,Coriobacteriaceae
genus_Coprococcus,Genus,Coprococcus,Lachnospiraceae
genus_Dorea,Genus,Dorea,Lachnospiraceae
genus_Eggerthella,Genus,Eggerthella,Coriobacteriaceae
genus_Erysipelotrichaceae_incertae_sedis,Genus,Erysipelotrichaceae_incertae_sedis,Erysipelotrichaceae 
genus_Faecalibacterium,Genus,Faecalibacterium,Oscillospiraceae
genus_Flavonifractor,Genus,Flavonifractor,Oscillospiraceae
genus_Holdemania,Genus,Holdemania,"	Erysipelotrichaceae"
genus_Lachnospiracea_incertae_sedis,Genus,Lachnospiracea_incertae_sedis,Lachnospiraceae
genus_Odoribacter,Genus,Odoribacter,"	Odoribacteraceae"
genus_Oscillibacter,Genus,Oscillibacter,Oscillospiraceae
genus_Parabacteroides,Genus,Parabacteroides,Tannerellaceae
genus_Parasutterella,Genus,Parasutterella,Sutterellaceae
genus_Phascolarctobacterium,Genus,Phascolarctobacterium,Acidaminococcaceae 
genus_Prevotella,Genus,Prevotella,Prevotellaceae
genus_Pseudoflavonifractor,Genus,Pseudoflavonifractor,Oscillospiraceae
genus_Roseburia,Genus,Roseburia,Lachnospiraceae
genus_Ruminococcus,Genus,Ruminococcus,Oscillospiraceae
genus_Streptococcus,Genus,Streptococcus,Streptococcaceae
genus_Veillonella,Genus,Veillonella,Veillonellaceae
genus_unclassified_Bacteria,Genus,unclassified_Bacteria,NA
genus_unclassified_Clostridiales,Genus,unclassified_Clostridiales,NA
genus_unclassified_Clostridiales_Incertae.Sedis.XIII,Genus,unclassified_Clostridiales_Incertae.Sedis.XIII,NA
genus_unclassified_Coriobacteriaceae,Genus,unclassified_Coriobacteriaceae,Coriobacteriaceae
genus_unclassified_Erysipelotrichaceae,Genus,unclassified_Erysipelotrichaceae,Erysipelotrichaceae
genus_unclassified_Firmicutes,Genus,unclassified_Firmicutes,NA
genus_unclassified_Lachnospiraceae,Genus,unclassified_Lachnospiraceae,Lachnospiraceae
genus_unclassified_Porphyromonadaceae,Genus,unclassified_Porphyromonadaceae,Porphyromonadaceae
genus_unclassified_Ruminococcaceae,Genus,unclassified_Ruminococcaceae,Oscillospiraceae
