"study_id","analysis_id","analysis_summary","metabolite_name","metabolite_id","refmet_name","units","Control_AKLA.","Control_AMDI.","Control_BABI.","Control_BACO.","Control_BADA.","Control_CECA.","Control_COMA.","Control_DIEM.","Control_DIMA31.","Control_DOMA.","Control_EMYA.","Control_FAAH.","Control_FAKA.","Control_FAND.","Control_HABA.","Control_HOLE.","Control_IBGA.","Control_KHGU.","Control_MAMB.","Control_MBKH.","Control_MEPA.","Control_MOKE.","Control_NDFA25.","Control_NDGU23.","Control_NGEU.","Control_NZFE.","Control_PAMA.","Control_RAFA.","Control_SAAD.","Control_SAAL.","Control_SACA23.","Control_SADI.","Control_SALL.","Control_SESO.","T2D_BASA.","T2D_CAFA.","T2D_CODI.","T2D_DAFA60.","T2D_DIDA.","T2D_DIFA.","T2D_DIFA37.","T2D_DIKH.","T2D_DSMA.","T2D_FAAS.","T2D_FAOU.","T2D_GUOU.","T2D_GUSA.","T2D_KAAD.","T2D_LEWA.","T2D_MADI52.","T2D_MBPA.","T2D_MOMB.","T2D_NDFA.","T2D_NDMO.","T2D_NDND.","T2D_NDOU.","T2D_NDPA.","T2D_NIIB.","T2D_SADI.","T2D_SAKH.","T2D_SAMO11.","T2D_SASE.","T2D_SODA.","T2D_SOFA.","T2D_THAN.","Control_AKLA..1","Control_AMDI..1","Control_BABI..1","Control_BACO..1","Control_BADA..1","Control_CECA..1","Control_COMA..1","Control_DIEM..1","Control_DIMA31..1","Control_DOMA..1","Control_EMYA..1","Control_FAAH..1","Control_FAKA..1","Control_FAND..1","Control_HABA..1","Control_HOLE..1","Control_IBGA..1","Control_KHGU..1","Control_MAMB..1","Control_MBKH..1","Control_MEPA..1","Control_MOKE..1","Control_NDFA25..1","Control_NDGU23..1","Control_NGEU..1","Control_NZFE..1","Control_PAMA..1","Control_RAFA..1","Control_SAAD..1","Control_SAAL..1","Control_SACA23..1","Control_SADI..1","Control_SALL..1","Control_SESO..1","T2D_BASA..1","T2D_CAFA..1","T2D_CODI..1","T2D_DAFA60..1","T2D_DIDA..1","T2D_DIFA..1","T2D_DIFA37..1","T2D_DIKH..1","T2D_DSMA..1","T2D_FAAS..1","T2D_FAOU..1","T2D_GUOU..1","T2D_GUSA..1","T2D_KAAD..1","T2D_LEWA..1","T2D_MADI52..1","T2D_MBPA..1","T2D_MOMB..1","T2D_NDFA..1","T2D_NDMO..1","T2D_NDND..1","T2D_NDOU..1","T2D_NDPA..1","T2D_NIIB..1","T2D_SADI..1","T2D_SAKH..1","T2D_SAMO11..1","T2D_SASE..1","T2D_SODA..1","T2D_SOFA..1","T2D_THAN..1"
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","1-Methylxanthine","ME634112","1-Methylxanthine","AU",3180,14300,7810,13900,8570,61100,NA,103000,12600,25500,22500,7830,75700,59400,3090,187000,20400,17000,114000,13600,3240,35000,88100,3070,4760,5340,149000,59300,126000,57900,7350,529000,69500,37900,70900,9220,13700,31700,175000,79800,11200,25100,51800,20700,43800,188000,331000,2950,26700,68700,450000,71100,36900,31900,41800,8240,33300,102000,139000,33700,127000,20000,271000,50100,96000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","2-Aminomucote","ME634058","","AU",NA,NA,8830,3350,8870,NA,20200,NA,23600,NA,NA,NA,5860,10700,NA,7270,3880,NA,15000,NA,9010,6760,NA,11000,5950,14000,NA,3770,NA,7120,8310,NA,NA,NA,8820,17100,45200,NA,NA,NA,16900,26500,NA,13900,6290,NA,10300,7300,NA,4030,9810,52100,NA,36600,NA,16400,NA,12700,5500,127000,9090,5680,NA,6070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","3-Methyldioxyindole","ME634049","3-Methyldioxyindole","AU",13200,6520,25300,11300,6360,6080,10900,10300,16200,12000,11500,12000,17800,7110,24700,17600,29800,11800,10900,28200,9150,4570,10800,11900,25400,16200,22300,15700,27400,8560,19000,11600,9910,6820,8610,68100,112000,38300,6700,9870,49200,28200,6180,16100,NA,12600,21400,11600,28800,25900,16700,24900,38000,65800,27100,25400,24000,24100,15700,24500,11200,10800,8340,14800,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","3-Sulfino-L-alanine","ME634045","3-Sulfino-alanine","AU",NA,9700,3890,NA,19300,21800,NA,NA,10400,NA,NA,7450,14100,19100,NA,8550,NA,5770,4160,NA,21900,15800,NA,NA,17200,6630,NA,6070,NA,NA,7260,7940,25900,NA,4290,NA,NA,4960,289000,346000,14800,NA,4520,NA,11400,3430,5310,NA,14000,2250,8550,4900,97300,NA,NA,NA,NA,5030,5080,NA,10600,41200,NA,6180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","4-Acetamidobutanoate","ME634039","4-Acetamidobutanoic acid","AU",78900,86400,107000,102000,293000,85400,178000,242000,98500,72500,202000,117000,84500,188000,82000,4310000,123000,510000,966000,84900,66700,79500,646000,67600,92200,82800,99300,146000,194000,158000,139000,344000,150000,122000,282000,60900,599000,393000,1370000,227000,48000,204000,70100,77900,335000,117000,201000,122000,273000,250000,3700000,280000,141000,414000,136000,211000,167000,3110000,50900,492000,360000,246000,134000,1e+06,2e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","4-Imidazolone-5-propanoate","ME634109","4-Imidazolone-5-propionic acid","AU",139000,70600,144000,159000,98700,92900,94600,158000,73000,87400,71100,108000,66400,72200,72300,147000,164000,188000,196000,66700,67300,125000,232000,53300,92000,155000,56100,1e+05,133000,146000,86300,117000,211000,80800,113000,113000,211000,277000,104000,103000,94000,110000,78800,64100,85700,175000,152000,80500,146000,181000,169000,188000,162000,244000,141000,76800,79700,206000,69100,117000,89000,77600,130000,84700,123000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","5-Guanidino-2-oxopentanoate","ME634035","2-Oxoarginine","AU",17400,3920,14500,16800,7120,3900,1590,27200,13400,5010,19400,8530,4200,15400,2190,11600,NA,4260,49900,NA,4430,NA,12900,2330,11600,4660,4690,20800,7710,26100,5550,8510,11500,NA,32700,6120,17400,36500,21200,42400,2890,4020,NA,1700,23500,12900,42400,14400,23700,8530,39300,25700,114000,20100,NA,5450,3310,56000,9560,10800,18500,NA,17100,6330,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","5-Hydroxyindoleacetate","ME634048","5-Hydroxyindoleacetic acid","AU",622000,267000,55100,38600,369000,253000,40200,326000,252000,2e+05,40600,50000,212000,208000,13200,280000,72900,39100,383000,48000,166000,198000,133000,47300,177000,310000,264000,160000,83600,124000,203000,590000,252000,31300,328000,75800,88500,198000,1730000,2310000,90200,93000,187000,68800,359000,559000,315000,18200,84000,490000,656000,68100,67400,65900,67600,65500,39600,612000,201000,76900,280000,287000,134000,216000,188000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","5-Hydroxyisourate","ME634022","5-Hydroxyisouric acid","AU",176000,171000,155000,233000,130000,153000,59700,114000,224000,196000,99700,NA,256000,143000,286000,192000,91400,118000,117000,198000,71300,235000,174000,68400,197000,70900,178000,83900,161000,74200,202000,96900,104000,110000,345000,80700,57100,179000,97700,94200,125000,NA,146000,126000,221000,266000,182000,67200,75900,151000,273000,199000,131000,97200,39300,165000,111000,125000,193000,169000,101000,94900,156000,160000,109000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST002681","AN004353","Reversed phase POSITIVE ION MODE","5-Oxoproline","ME634025","Pyroglutamic acid","AU",8180000,13500000,3980000,3900000,12300000,9030000,3440000,7560000,1.1e+07,9130000,5400000,2810000,11100000,9500000,3400000,9790000,3580000,2590000,8570000,3190000,8540000,12400000,6230000,3050000,8830000,1.2e+07,12200000,8430000,4020000,8740000,9220000,8970000,9e+06,4550000,8950000,2460000,3260000,8550000,11200000,7520000,3220000,5260000,9300000,2580000,11400000,10100000,11500000,3630000,6110000,10700000,11100000,4240000,7840000,4210000,3460000,4510000,4750000,10100000,8970000,2860000,12600000,7770000,6780000,9870000,6190000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
