"study_id","analysis_id","analysis_summary","metabolite_name","metabolite_id","refmet_name","units","Control_AKLA.","Control_AMDI.","Control_BABI.","Control_BACO.","Control_BADA.","Control_CECA.","Control_COMA.","Control_DIEM.","Control_DIMA31.","Control_DOMA.","Control_EMYA.","Control_FAAH.","Control_FAKA.","Control_FAND.","Control_HABA.","Control_HOLE.","Control_IBGA.","Control_KHGU.","Control_MAMB.","Control_MBKH.","Control_MEPA.","Control_MOKE.","Control_NDFA25.","Control_NDGU23.","Control_NGEU.","Control_NZFE.","Control_PAMA.","Control_RAFA.","Control_SAAD.","Control_SAAL.","Control_SACA23.","Control_SADI.","Control_SALL.","Control_SESO.","T2D_BASA.","T2D_CAFA.","T2D_CODI.","T2D_DAFA60.","T2D_DIDA.","T2D_DIFA.","T2D_DIFA37.","T2D_DIKH.","T2D_DSMA.","T2D_FAAS.","T2D_FAOU.","T2D_GUOU.","T2D_GUSA.","T2D_KAAD.","T2D_LEWA.","T2D_MADI52.","T2D_MBPA.","T2D_MOMB.","T2D_NDFA.","T2D_NDMO.","T2D_NDND.","T2D_NDOU.","T2D_NDPA.","T2D_NIIB.","T2D_SADI.","T2D_SAKH.","T2D_SAMO11.","T2D_SASE.","T2D_SODA.","T2D_SOFA.","T2D_THAN.","Control_AKLA..1","Control_AMDI..1","Control_BABI..1","Control_BACO..1","Control_BADA..1","Control_CECA..1","Control_COMA..1","Control_DIEM..1","Control_DIMA31..1","Control_DOMA..1","Control_EMYA..1","Control_FAAH..1","Control_FAKA..1","Control_FAND..1","Control_HABA..1","Control_HOLE..1","Control_IBGA..1","Control_KHGU..1","Control_MAMB..1","Control_MBKH..1","Control_MEPA..1","Control_MOKE..1","Control_NDFA25..1","Control_NDGU23..1","Control_NGEU..1","Control_NZFE..1","Control_PAMA..1","Control_RAFA..1","Control_SAAD..1","Control_SAAL..1","Control_SACA23..1","Control_SADI..1","Control_SALL..1","Control_SESO..1","T2D_BASA..1","T2D_CAFA..1","T2D_CODI..1","T2D_DAFA60..1","T2D_DIDA..1","T2D_DIFA..1","T2D_DIFA37..1","T2D_DIKH..1","T2D_DSMA..1","T2D_FAAS..1","T2D_FAOU..1","T2D_GUOU..1","T2D_GUSA..1","T2D_KAAD..1","T2D_LEWA..1","T2D_MADI52..1","T2D_MBPA..1","T2D_MOMB..1","T2D_NDFA..1","T2D_NDMO..1","T2D_NDND..1","T2D_NDOU..1","T2D_NDPA..1","T2D_NIIB..1","T2D_SADI..1","T2D_SAKH..1","T2D_SAMO11..1","T2D_SASE..1","T2D_SODA..1","T2D_SOFA..1","T2D_THAN..1"
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","1-4-beta-D-Xylan","ME634156","","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,559000,480000,1040000,849000,520000,382000,1260000,464000,420000,567000,960000,1050000,471000,461000,881000,1060000,971000,766000,597000,930000,327000,482000,1010000,853000,496000,577000,647000,354000,740000,622000,555000,696000,476000,570000,874000,1190000,1380000,763000,550000,413000,894000,1370000,390000,593000,490000,379000,680000,941000,1280000,592000,1240000,1950000,609000,1100000,1700000,612000,804000,532000,1460000,2560000,569000,711000,846000,1440000,1490000
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","2-3-Bisphosphoglycerate","ME634133","","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,214000,15600,36400,305000,11000,12300,5790,40600,58900,171000,12200,59500,277000,38500,478000,13600,7550,691000,15800,39500,19300,9870,388000,5410,17000,47700,161000,190000,32400,21900,35600,11100,13100,7590,109000,17100,12000,21200,14600,17700,12600,29400,140000,13100,29500,98700,25600,91100,32700,123000,78700,129000,22000,13300,13200,109000,14300,28200,115000,7220,12500,12500,81500,33900,27300
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","2-3-Dinor-8-iso prostaglandin F2alpha","ME634200","","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,8000,6670,11400,25300,9850,9170,23100,7240,8840,9070,15800,15800,10600,6620,9350,23100,14300,16200,12800,30000,6830,10300,12300,12600,6570,9790,10200,7130,22400,10000,11300,12200,7520,8560,9860,33300,49500,29400,9910,6890,22600,14000,6560,32500,9540,11900,10900,22000,15300,8890,10900,15800,21400,18100,9200,48300,25400,8930,9420,18300,8930,12400,9400,10800,27700
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","2/3-Phospho-D-glycerate","ME634134","2-Phosphoglyceric acid","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,56300,71200,133000,133000,14400,11100,70000,67100,86800,36800,133000,44500,81000,179000,155000,92400,114000,486000,124000,140000,44200,97700,152000,115000,27300,56800,116000,14000,531000,61300,28200,25100,91400,66000,67000,360000,541000,303000,89200,118000,253000,128000,111000,426000,81900,608000,54100,178000,350000,55600,150000,279000,267000,354000,126000,423000,897000,26500,23000,462000,16100,25200,201000,55500,646000
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","2-Hydroxyglutarate","ME634149","2-Hydroxyglutaric acid","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,112000,66300,558000,555000,74100,110000,419000,78600,1e+05,72200,504000,624000,91100,112000,337000,242000,587000,579000,171000,555000,72700,71300,392000,417000,96800,157000,190000,73800,821000,145000,75100,156000,66500,185000,217000,672000,779000,566000,129000,113000,520000,577000,98900,621000,116000,137000,187000,496000,530000,125000,123000,728000,508000,839000,136000,542000,595000,160000,117000,780000,138000,88500,113000,131000,920000
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","2-Oxoglutarate","ME634145","2-Oxoglutaric acid","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,182000,415000,540000,580000,180000,266000,743000,219000,318000,172000,703000,479000,150000,298000,338000,460000,621000,434000,772000,562000,145000,175000,426000,586000,360000,3e+05,299000,331000,1140000,366000,283000,381000,275000,309000,309000,690000,299000,733000,308000,96800,526000,568000,204000,831000,154000,236000,359000,624000,271000,317000,273000,935000,476000,491000,1370000,423000,487000,142000,298000,176000,978000,150000,269000,246000,971000
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","3alpha-7alpha-12alpha-Trihydroxy-5beta-cholate","ME634186","","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,19700,9220,214000,22400,18100,13100,41800,7750,20000,18800,73300,160000,4290,6090,133000,38600,165000,912000,20900,116000,1830,2980,75900,65300,13900,9350,26800,8240,657000,11500,182000,6570,4070,122000,30000,224000,243000,49600,9940,2840,28100,33400,6330,401000,8140,89900,138000,25000,252000,5080,7060,28100,51700,151000,280000,615000,213000,4270,28900,67300,195000,4200,6120,5620,372000
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","4-Pyridoxate","ME634129","4-Pyridoxic acid","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,34100,23800,NA,77700,21300,9380,52900,11200,15400,24900,55600,106000,5300,10400,433,253000,62800,19100,31300,38300,3810,9010,32500,33900,7810,9630,NA,NA,28200,17300,4570,18200,8400,11100,27000,70800,22600,206000,12300,6440,80200,16900,NA,56200,12300,13100,22900000,156000,35400,20300,59100,470000,95800,661000,18000,109000,414000,36300,10700,20400,9270,14500,16000,17300,240000
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","(7Z-10Z-13Z-16Z-19Z)-Docosa-7-10-13-16-19-pentaenoic acid","ME634185","DPA","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,925000,1020000,2590000,4360000,881000,412000,2950000,494000,790000,897000,3010000,2550000,933000,428000,1660000,581000,3210000,2090000,405000,1630000,390000,528000,2380000,5380000,549000,672000,460000,241000,2050000,718000,253000,952000,444000,542000,690000,2770000,7660000,4380000,489000,965000,2720000,3890000,387000,2040000,724000,903000,1e+06,5580000,3690000,916000,829000,3570000,3540000,4360000,2210000,3710000,3800000,91900,1680000,6420000,495000,712000,948000,423000,3250000
"ST002681","AN004354","Reversed phase NEGATIVE ION MODE","(8Z-11Z-14Z)-Icosatrienoic acid","ME634184","Dihomo-gamma-linolenic acid","AU",190000,202000,113000,64700,87400,175000,246000,211000,131000,133000,256000,179000,102000,171000,88700,509000,231000,59100,76100,133000,142000,166000,139000,260000,189000,168000,89600,37600,115000,161000,116000,313000,190000,173000,306000,481000,127000,346000,123000,133000,85900,155000,125000,272000,229000,207000,131000,154000,407000,139000,152000,295000,359000,172000,442000,281000,332000,71600,85300,120000,126000,224000,156000,154000,390000,618000,437000,1550000,1490000,511000,297000,1550000,359000,491000,563000,1610000,1750000,510000,450000,1090000,628000,1340000,1060000,352000,756000,194000,435000,1320000,2900000,428000,456000,306000,142000,1850000,528000,176000,520000,342000,305000,471000,3010000,3610000,2530000,287000,309000,1730000,2170000,227000,1130000,283000,866000,328000,2e+06,1400000,415000,446000,2e+06,1130000,1790000,751000,1950000,3180000,111000,429000,3060000,398000,386000,903000,204000,3030000
