genus,n,beta,SE,OR,CI_lower,CI_upper,p_value,converged,prevalence,p_FDR,significance
Blautia,44,1.375626906642322,0.4971243866477094,3.957556964147688,1.4937102251265348,10.485472256271857,0.005654553337206047,TRUE,1,0.17473892574823333,Nominal P < 0.05
Holdemania,44,1.1266344499421215,0.4496823398457686,3.0852554256975475,1.277949785668754,7.4484937894605485,0.012231273718725448,TRUE,0.7272727272727273,0.17473892574823333,Nominal P < 0.05
Eggerthella,44,1.1171233407132029,0.4479980189967214,3.0560503309281457,1.2700385108054726,7.3536696294688335,0.0126458552132004,TRUE,0.7272727272727273,0.17473892574823333,Nominal P < 0.05
Pseudoflavonifractor,44,-0.9669840690427612,0.3996259946512239,0.38022805214712424,0.17373032843985822,0.8321711755103515,0.015532348955398519,TRUE,0.6363636363636364,0.17473892574823333,Nominal P < 0.05
unclassified_Clostridiales,44,-1.0036400582999792,0.45282955564019123,0.36654277280950415,0.15089274578567666,0.890391407481652,0.02666583765901957,TRUE,0.9772727272727273,0.18619245871051754,Nominal P < 0.05
Clostridium.XlVb,44,0.8872629068673769,0.4054188697765698,2.4284735879323587,1.0970688288301567,5.375673624392154,0.028632535355308224,TRUE,0.9772727272727273,0.18619245871051754,Nominal P < 0.05
Lachnospiracea_incertae_sedis,44,0.8513820389533705,0.3971944953512159,2.342882570441972,1.0756023476634993,5.1032788751387494,0.03207385194737268,TRUE,1,0.18619245871051754,Nominal P < 0.05
Odoribacter,44,-0.8683715182691729,0.4075220929387875,0.4196343600132207,0.1887909764897246,0.9327405333553618,0.03310088154853645,TRUE,0.7954545454545454,0.18619245871051754,Nominal P < 0.05
Flavonifractor,44,0.9789257238528651,0.4729125211388209,2.6615954170767107,1.053393842214106,6.725015735153578,0.0384529771085897,TRUE,1,0.1922648855429485,Nominal P < 0.05
Clostridium.XlVa,44,0.7761961415631513,0.39423959472739956,2.173190016055098,1.0034926209335742,4.706317462990273,0.04897104255798914,TRUE,1,0.2160166748566852,Nominal P < 0.05
Bacteroides,44,0.7110585708832822,0.374138034801868,2.0361455225893796,0.9779937717431558,4.239176883275269,0.05736429862637898,TRUE,1,0.2160166748566852,P >= 0.05
Phascolarctobacterium,44,0.6890969771234033,0.3629316890746258,1.991915975150488,0.9779965530298729,4.056997174241088,0.05760444662844938,TRUE,0.7045454545454546,0.2160166748566852,P >= 0.05
unclassified_Bacteria,44,-0.8317218072038941,0.46845900504559074,0.4352991395085126,0.1737910684837112,1.0903054024011094,0.0758249292476106,TRUE,0.9545454545454546,0.2624709089340367,P >= 0.05
unclassified_Lachnospiraceae,44,0.7418603636532055,0.426667261029178,2.09983834596227,0.9099119267339129,4.845876781723939,0.08208177283554789,TRUE,1,0.2638342698285468,P >= 0.05
Clostridium.IV,44,0.5945732237202185,0.3521411568767789,1.8122573514457605,0.9088061682800781,3.613836285997837,0.09132461383242857,TRUE,0.8863636363636364,0.2739738414972857,P >= 0.05
