genus,n,beta,SE,OR,CI_lower,CI_upper,p_value,converged,prevalence,p_FDR,direction
Blautia,44,1.375626906642322,0.4971243866477094,3.957556964147688,1.4937102251265348,10.485472256271857,0.005654553337206047,TRUE,1,0.17473892574823333,Higher odds of IR
Holdemania,44,1.1266344499421215,0.4496823398457686,3.0852554256975475,1.277949785668754,7.4484937894605485,0.012231273718725448,TRUE,0.7272727272727273,0.17473892574823333,Higher odds of IR
Eggerthella,44,1.1171233407132029,0.4479980189967214,3.0560503309281457,1.2700385108054726,7.3536696294688335,0.0126458552132004,TRUE,0.7272727272727273,0.17473892574823333,Higher odds of IR
Pseudoflavonifractor,44,-0.9669840690427612,0.3996259946512239,0.38022805214712424,0.17373032843985822,0.8321711755103515,0.015532348955398519,TRUE,0.6363636363636364,0.17473892574823333,Lower odds of IR
unclassified_Clostridiales,44,-1.0036400582999792,0.45282955564019123,0.36654277280950415,0.15089274578567666,0.890391407481652,0.02666583765901957,TRUE,0.9772727272727273,0.18619245871051754,Lower odds of IR
Clostridium.XlVb,44,0.8872629068673769,0.4054188697765698,2.4284735879323587,1.0970688288301567,5.375673624392154,0.028632535355308224,TRUE,0.9772727272727273,0.18619245871051754,Higher odds of IR
Lachnospiracea_incertae_sedis,44,0.8513820389533705,0.3971944953512159,2.342882570441972,1.0756023476634993,5.1032788751387494,0.03207385194737268,TRUE,1,0.18619245871051754,Higher odds of IR
Odoribacter,44,-0.8683715182691729,0.4075220929387875,0.4196343600132207,0.1887909764897246,0.9327405333553618,0.03310088154853645,TRUE,0.7954545454545454,0.18619245871051754,Lower odds of IR
Flavonifractor,44,0.9789257238528651,0.4729125211388209,2.6615954170767107,1.053393842214106,6.725015735153578,0.0384529771085897,TRUE,1,0.1922648855429485,Higher odds of IR
Clostridium.XlVa,44,0.7761961415631513,0.39423959472739956,2.173190016055098,1.0034926209335742,4.706317462990273,0.04897104255798914,TRUE,1,0.2160166748566852,Higher odds of IR
