genus,prevalence
Bacteroides,1
Blautia,1
Butyricicoccus,1
Clostridium.XlVa,1
Faecalibacterium,1
Flavonifractor,1
Lachnospiracea_incertae_sedis,1
Oscillibacter,1
Roseburia,1
unclassified_Lachnospiraceae,1
unclassified_Ruminococcaceae,1
Alistipes,0.9772727272727273
Clostridium.XlVb,0.9772727272727273
Parabacteroides,0.9772727272727273
unclassified_Clostridiales,0.9772727272727273
Dorea,0.9545454545454546
unclassified_Bacteria,0.9545454545454546
unclassified_Firmicutes,0.9545454545454546
Ruminococcus,0.9318181818181818
Streptococcus,0.9090909090909091
Clostridium.IV,0.8863636363636364
Clostridium.XI,0.8863636363636364
Clostridium.XVIII,0.8863636363636364
Erysipelotrichaceae_incertae_sedis,0.8863636363636364
unclassified_Coriobacteriaceae,0.8409090909090909
unclassified_Erysipelotrichaceae,0.8409090909090909
Collinsella,0.8181818181818182
unclassified_Clostridiales_Incertae.Sedis.XIII,0.8181818181818182
Coprococcus,0.7954545454545454
Odoribacter,0.7954545454545454
Anaerotruncus,0.7727272727272727
Akkermansia,0.75
Eggerthella,0.7272727272727273
Holdemania,0.7272727272727273
Parasutterella,0.7272727272727273
Anaerovorax,0.7045454545454546
Bilophila,0.7045454545454546
Clostridium.sensu.stricto,0.7045454545454546
Phascolarctobacterium,0.7045454545454546
Pseudoflavonifractor,0.6363636363636364
Veillonella,0.6136363636363636
Prevotella,0.5909090909090909
Barnesiella,0.5681818181818182
Butyricimonas,0.5227272727272727
unclassified_Porphyromonadaceae,0.4772727272727273
