genus,n,rho,p_value,p_FDR,direction
Eggerthella,18,0.2301341589267286,0.35825371050744315,0.9967573972800614,Positive
Clostridium.XlVb,18,0.19504643962848298,0.43798642970216684,0.9967573972800614,Positive
Flavonifractor,18,0.1826625386996904,0.46816133789331515,0.9967573972800614,Positive
unclassified_Clostridiales,18,-0.16615067079463364,0.509950460343896,0.9967573972800614,Negative
Clostridium.XlVa,18,0.12693498452012383,0.6157269826949077,0.9967573972800614,Positive
Pseudoflavonifractor,18,0.1001031991744066,0.6926899392518375,0.9967573972800614,Positive
Holdemania,18,-0.06914344685242518,0.785147870866694,0.9967573972800614,Negative
Blautia,18,0.02579979360165119,0.9190604851409846,0.9967573972800614,Positive
Odoribacter,18,-0.013415892672858616,0.9578637574487225,0.9967573972800614,Negative
Lachnospiracea_incertae_sedis,18,-0.0010319917440660474,0.9967573972800614,0.9967573972800614,Negative
