genus,n,rho,p_value,p_FDR,direction,heatmap_label
unclassified_Clostridiales,18,-0.16615067079463364,0.509950460343896,0.9967573972800614,Negative,"rho = -0.17
P = 0.51"
Holdemania,18,-0.06914344685242518,0.785147870866694,0.9967573972800614,Negative,"rho = -0.07
P = 0.79"
Odoribacter,18,-0.013415892672858616,0.9578637574487225,0.9967573972800614,Negative,"rho = -0.01
P = 0.96"
Lachnospiracea_incertae_sedis,18,-0.0010319917440660474,0.9967573972800614,0.9967573972800614,Negative,"rho = -0.00
P = 1.00"
Blautia,18,0.02579979360165119,0.9190604851409846,0.9967573972800614,Positive,"rho = 0.03
P = 0.92"
Pseudoflavonifractor,18,0.1001031991744066,0.6926899392518375,0.9967573972800614,Positive,"rho = 0.10
P = 0.69"
Clostridium.XlVa,18,0.12693498452012383,0.6157269826949077,0.9967573972800614,Positive,"rho = 0.13
P = 0.62"
Flavonifractor,18,0.1826625386996904,0.46816133789331515,0.9967573972800614,Positive,"rho = 0.18
P = 0.47"
Clostridium.XlVb,18,0.19504643962848298,0.43798642970216684,0.9967573972800614,Positive,"rho = 0.20
P = 0.44"
Eggerthella,18,0.2301341589267286,0.35825371050744315,0.9967573972800614,Positive,"rho = 0.23
P = 0.36"
