genus,n,rho,p_value,p_FDR,direction,IR_OR,IR_CI_lower,IR_CI_upper,IR_p_value,IR_p_FDR,IR_direction,interpretation
Eggerthella,18,0.2301341589267286,0.35825371050744315,0.9967573972800614,Positive,3.0560503309281457,1.2700385108054726,7.3536696294688335,0.0126458552132004,0.17473892574823333,Higher odds of IR,Higher genus abundance associated with higher odds of IR and higher TMAO
Clostridium.XlVb,18,0.19504643962848298,0.43798642970216684,0.9967573972800614,Positive,2.4284735879323587,1.0970688288301569,5.375673624392154,0.02863253535530822,0.1861924587105175,Higher odds of IR,Higher genus abundance associated with higher odds of IR and higher TMAO
Flavonifractor,18,0.1826625386996904,0.46816133789331515,0.9967573972800614,Positive,2.6615954170767107,1.053393842214106,6.725015735153578,0.0384529771085897,0.1922648855429485,Higher odds of IR,Higher genus abundance associated with higher odds of IR and higher TMAO
unclassified_Clostridiales,18,-0.16615067079463364,0.509950460343896,0.9967573972800614,Negative,0.36654277280950415,0.15089274578567666,0.890391407481652,0.02666583765901957,0.1861924587105175,Lower odds of IR,Higher genus abundance associated with lower odds of IR and lower TMAO
Clostridium.XlVa,18,0.12693498452012383,0.6157269826949077,0.9967573972800614,Positive,2.173190016055098,1.0034926209335742,4.706317462990273,0.04897104255798914,0.2160166748566852,Higher odds of IR,Higher genus abundance associated with higher odds of IR and higher TMAO
Pseudoflavonifractor,18,0.1001031991744066,0.6926899392518375,0.9967573972800614,Positive,0.38022805214712424,0.17373032843985822,0.8321711755103515,0.01553234895539851,0.17473892574823333,Lower odds of IR,Higher genus abundance associated with lower odds of IR and higher TMAO
Holdemania,18,-0.06914344685242518,0.785147870866694,0.9967573972800614,Negative,3.0852554256975475,1.277949785668754,7.4484937894605485,0.01223127371872544,0.17473892574823333,Higher odds of IR,Higher genus abundance associated with higher odds of IR and lower TMAO
Blautia,18,0.02579979360165119,0.9190604851409846,0.9967573972800614,Positive,3.957556964147688,1.4937102251265348,10.485472256271857,0.00565455333720604,0.17473892574823333,Higher odds of IR,Higher genus abundance associated with higher odds of IR and higher TMAO
Odoribacter,18,-0.013415892672858616,0.9578637574487225,0.9967573972800614,Negative,0.4196343600132207,0.1887909764897246,0.9327405333553618,0.03310088154853645,0.1861924587105175,Lower odds of IR,Higher genus abundance associated with lower odds of IR and lower TMAO
Lachnospiracea_incertae_sedis,18,-0.0010319917440660474,0.9967573972800614,0.9967573972800614,Negative,2.342882570441972,1.0756023476634993,5.1032788751387494,0.03207385194737268,0.1861924587105175,Higher odds of IR,Higher genus abundance associated with higher odds of IR and lower TMAO
